,Toma,Completion,Probability,Match,Tries
90,box of Q-tips,type of vegetable.,0.55,False,5
91,bottle of paint,bottle of paint.,0.35,True,5
92,rolling pin,rolling pin.,0.95,True,5
93,box of markers,box of markers.,0.73,True,5
94,shopping bag,shopping bag.,0.47,True,5
95,magnet,magnet.,0.78,True,5
96,zebra,zebra.,0.42,True,5
97,water,type of water bottle.,0.63,True,5
98,wireless control,wireless control.,0.94,True,5
99,magazine,magazine.,0.58,True,5
100,sharpie,sharpie.,0.67,True,6
101,cowboy hat,cowboy hat.,0.9,True,6
102,cellphone,cellphone.,0.97,True,6
103,canteen,canteen.,0.92,True,6
104,necktie,necktie.,0.94,True,6
105,ocarina,ocarina.,0.75,True,6
106,fake flowers,fake flower.,0.69,False,6
107,button,button.,0.82,True,6
108,model car,model car.,0.98,True,6
109,sun glasses,type of sunglasses.,0.44,False,6
110,jar of jam,jar of jam.,0.87,True,6
111,shovel,shovel.,0.69,True,6
112,sidewalk,sidewalk.,0.43,True,6
113,hair pin,hair pin.,0.89,True,6
114,bananas,type of fruit.,0.79,False,6
115,box of Q-tips,box of Q-tips.,0.52,True,6
116,handful of change,coin.,0.87,False,6
117,feather duster,feather duster.,0.98,True,6
118,scotch tape,scotch tape.,0.42,True,6
119,bottle of water,bottle of water.,0.54,True,6
120,piece of gum,piece of gum.,0.74,True,7
121,screwdriver,screwdriver.,0.84,True,7
122,sketch pad,sketch pad.,0.85,True,7
123,wrench,wrench.,0.85,True,7
124,catalogue,type of catalogue.,0.4,True,7
125,thimble,thimble.,0.99,True,7
126,flyswatter,flyswatter.,0.97,True,7
127,laser pointer,laser pointer.,0.99,True,7
128,food,type of food.,0.9,True,7
129,pack of cards,pack of cards.,0.95,True,7
130,toilet paper tube,toilet paper tube.,0.97,True,7
131,flag,flag.,0.85,True,7
132,tea cup,tea cup.,0.92,True,7
133,handful of change,coin.,0.64,False,7
134,bottle of glue,bottle of glue.,0.88,True,7
135,plush cat,plush cat.,0.93,True,7
136,bottle cap,bottle cap.,0.99,True,7
137,pocketknife,pocketknife.,0.83,True,7
138,bottle of soda,bottle of soda.,0.59,True,7
139,garden spade,garden spade.,0.86,True,7
140,washcloth,washcloth.,0.88,True,8
141,cup,cup.,0.91,True,8
142,toothpick,toothpick.,0.97,True,8
143,clothes,traditional Mexican garment.,0.6,False,8
144,bowl,bowl.,0.88,True,8
145,microphone,microphone.,0.95,True,8
146,soccer ball,soccer ball.,0.99,True,8
147,jar of pickles,jar of pickles.,0.84,True,8
148,statuette,statuette.,0.79,True,8
149,spool of wire,spool of wire.,0.91,True,8
150,tea pot,tea pot.,0.89,True,8
151,CD,CD.,0.89,True,8
152,box of tissues,box of tissues.,0.83,True,8
153,money,Spanish slang term for money.,0.33,True,8
154,bag,bag.,0.43,True,8
155,sun glasses,pair of sunglasses.,0.47,False,8
156,wristwatch,wristwatch.,0.95,True,8
157,squirt gun,squirt gun.,0.82,True,8
158,canteen,canteen.,0.92,True,8
159,tweezers,tweezers.,0.96,True,8
160,sponge,sponge.,0.8,True,9
161,bandana,bandana.,0.54,True,9
162,pillow,pillow.,0.91,True,9
163,conditioner,type of conditioner.,0.52,True,9
164,sponge,sponge.,0.66,True,9
165,pair of spectacles,pair of spectacles.,0.97,True,9
166,vase,vase.,0.94,True,9
167,flag,flag.,0.92,True,9
168,table,table.,0.83,True,9
169,sheep,sheep.,0.63,True,9
170,hamster,hamster.,0.68,True,9
171,book of jokes,book of jokes.,0.9,True,9
172,wristwatch,wristwatch.,0.96,True,9
173,canvas,painting.,0.33,False,9
174,game CD,game CD.,0.87,True,9
175,bouquet of flowers,bouquet of flowers.,0.81,True,9
176,buckle,buckle.,0.8,True,9
177,model car,model car.,0.98,True,9
178,orange,type of orange.,0.72,True,9
179,bag of popcorn,type of Spanish cheese.,0.7,False,9
180,postage stamp,postage stamp.,0.94,True,10
181,locket,locket.,0.96,True,10
182,tennis racket,tennis racket.,0.87,True,10
183,cup,cup.,0.92,True,10
184,spool of string,spool of string.,0.78,True,10
185,pants,type of pants.,0.44,True,10
186,fork,fork.,0.36,True,10
187,slipper,slipper.,0.71,True,10
188,lion,lion.,0.81,True,10
189,plush rabbit,plush rabbit.,0.8,True,10
190,spatula,spatula.,0.92,True,10
191,letter opener,letter opener.,0.92,True,10
192,nail clippers,nail clippers.,0.64,True,10
193,street lights,street light.,0.95,False,10
194,miniature portrait,miniature portrait.,0.99,True,10
195,watch,watch.,0.94,True,10
196,necktie,necktie.,0.92,True,10
197,lighter,lighter.,0.93,True,10
198,lace,lace.,0.65,True,10
199,rusty nail,rusty nail.,0.79,True,10
